task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	30/06bb98	11300734	job_dispatch (job-dispatch)	COMPLETED	0	2026-04-01 21:32:35.721	3m 9s	5.9s	24.9%	77.8 MB	403.5 MB	18 MB	619.5 KB
2	9b/b63b67	11300803	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-04-01 21:35:45.238	3m 34s	43s	1890.6%	9.5 GB	100.9 GB	6.9 GB	13.8 MB
3	5b/1cbee2	11300804	preprocessing (preprocessing)	COMPLETED	0	2026-04-01 21:35:45.336	3m 34s	48.3s	798.5%	11 GB	25.3 GB	1.3 GB	19.4 MB
4	76/57027f	11300949	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-04-01 21:39:19.910	3m 5s	46.1s	188.3%	2 GB	18.6 GB	69.1 MB	14.6 MB
5	79/500ff3	11301095	postprocessing (postprocessing)	COMPLETED	0	2026-04-01 21:42:24.902	3m 5s	48.6s	301.0%	703.4 MB	3 GB	498.7 MB	288.3 MB
6	3f/1ed525	11301225	curation (curation)	COMPLETED	0	2026-04-01 21:45:29.876	2m 35s	23s	42.6%	948.6 MB	4.6 GB	223.9 MB	256.8 KB
7	90/373e27	11301326	visualization (visualization)	COMPLETED	0	2026-04-01 21:48:04.923	3m 35s	35.6s	25.9%	856.1 MB	1.6 GB	608.7 MB	3.1 MB
8	2f/aabe86	11301486	results_collector (result-collector)	COMPLETED	0	2026-04-01 21:51:39.896	2m 35s	23.3s	15.0%	262.1 MB	913.2 MB	150 MB	113.8 MB
10	2c/476d1d	11301656	nwb_units (nwb-units)	COMPLETED	0	2026-04-01 21:54:18.274	3m 27s	9.2s	21.9%	191.6 MB	568.6 MB	39.9 MB	4.4 MB
9	9f/aad69d	11301659	quality_control (quality-control)	COMPLETED	0	2026-04-01 21:54:18.390	3m 26s	33.5s	32.2%	625.2 MB	3.2 GB	1.1 GB	5.8 MB
11	9f/c8f640	11301737	quality_control_collector (qc-collector)	COMPLETED	0	2026-04-01 21:57:45.043	2m 35s	4.5s	40.6%	122.9 MB	442.8 MB	10.8 MB	2.7 MB
