task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9c/a8004f	8894933	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-06 23:31:13.732	1m 9s	3.3s	35.3%	182.3 MB	507 MB	18 MB	508.3 KB
2	d0/7d653a	8894941	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-02-06 23:32:23.427	1m 35s	36.2s	2203.4%	7.8 GB	82.6 GB	7 GB	13.9 MB
3	4e/9ca8e1	8894940	preprocessing (preprocessing)	COMPLETED	0	2026-02-06 23:32:23.333	7m 5s	5m 20s	397.4%	78.1 GB	472.9 GB	10.4 GB	241.8 MB
4	82/f44ecd	8895126	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-02-06 23:39:28.199	1m 5s	28.3s	304.7%	2 GB	18.6 GB	69.1 MB	14.6 MB
5	b6/9b0f9c	8895129	postprocessing (postprocessing)	COMPLETED	0	2026-02-06 23:40:33.261	1m 35s	47.3s	337.9%	23 GB	71.6 GB	613.7 MB	298.1 MB
6	dd/4f3bb1	8895164	curation (curation)	COMPLETED	0	2026-02-06 23:42:08.177	1m 30s	18.4s	33.8%	943.8 MB	5.1 GB	223.6 MB	252 KB
7	1c/b5fb02	8895212	visualization (visualization)	COMPLETED	0	2026-02-06 23:43:38.266	1m 5s	15.9s	54.6%	924.4 MB	1.6 GB	608.7 MB	3.1 MB
8	48/661b10	8895248	results_collector (result-collector)	COMPLETED	0	2026-02-06 23:44:43.204	34.8s	7.3s	49.3%	261.8 MB	912.3 MB	150.1 MB	113.9 MB
9	49/b77ccb	8895252	nwb_units (nwb-units)	COMPLETED	0	2026-02-06 23:45:18.273	1m 5s	6.2s	32.6%	179.1 MB	558.9 MB	39.9 MB	4.4 MB
10	58/db9a61	8895253	quality_control (quality-control)	COMPLETED	0	2026-02-06 23:45:18.368	1m 5s	19.2s	51.7%	602.1 MB	3.2 GB	1.1 GB	3.2 MB
11	b1/7deec5	8895288	quality_control_collector (qc-collector)	COMPLETED	0	2026-02-06 23:46:23.197	1m 15s	1.9s	90.7%	81.7 MB	399.8 MB	10.7 MB	2.7 MB
