task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e0/becc34	8021823	job_dispatch (job-dispatch)	COMPLETED	0	2026-01-13 16:01:58.298	1m 4s	3.5s	31.3%	76.2 MB	402.1 MB	18 MB	468 KB
2	b3/316a30	8021849	nwb_ecephys (nwb-ecephys)	COMPLETED	0	2026-01-13 16:03:03.032	1m 40s	32.4s	2721.2%	6.9 GB	86.6 GB	7 GB	13.9 MB
3	49/d64e54	8021850	preprocessing (preprocessing)	COMPLETED	0	2026-01-13 16:03:03.158	8m 15s	7m 7s	337.9%	81.4 GB	503.5 GB	10.8 GB	258.6 MB
4	20/b57865	8022148	spikesort_kilosort4 (spikesort-kilosort4)	COMPLETED	0	2026-01-13 16:11:17.946	1m 5s	31.6s	267.0%	2 GB	18.6 GB	69.1 MB	14.6 MB
5	9f/54485a	8022212	postprocessing (postprocessing)	COMPLETED	0	2026-01-13 16:12:22.890	2m 5s	50.1s	461.5%	23.5 GB	174 GB	613.7 MB	298.3 MB
6	e1/9ce7db	8022350	curation (curation)	COMPLETED	0	2026-01-13 16:14:27.865	34.9s	18.4s	33.6%	808 MB	4.5 GB	223.8 MB	243.3 KB
7	62/daf718	8022377	visualization (visualization)	COMPLETED	0	2026-01-13 16:15:02.859	1m 5s	17.5s	49.8%	922.2 MB	1.6 GB	608.7 MB	3.1 MB
8	f6/647f66	8022453	results_collector (result-collector)	COMPLETED	0	2026-01-13 16:16:08.314	1m 34s	48.5s	6.9%	268.4 MB	918.6 MB	150.3 MB	114.1 MB
10	62/c043bc	8022562	nwb_units (nwb-units)	COMPLETED	0	2026-01-13 16:17:43.900	2m 4s	1m 17s	4.7%	238.1 MB	929.4 MB	50.4 MB	4.4 MB
9	37/a906c7	8022561	quality_control (quality-control)	COMPLETED	0	2026-01-13 16:17:42.976	2m 55s	2m 27s	7.9%	748.2 MB	3.9 GB	1.1 GB	3.1 MB
11	f4/2c54dc	8022740	quality_control_collector (qc-collector)	COMPLETED	0	2026-01-13 16:20:38.256	14.5s	5.9s	29.5%	122.9 MB	442.8 MB	10.7 MB	2.7 MB
