task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9c/c34da4	8860690	job_dispatch (job-dispatch)	COMPLETED	0	2026-02-06 11:31:25.477	17m 4s	16m 31s	98.6%	10.5 GB	12 GB	18.2 MB	575.7 KB
3	ca/f6049c	8861545	preprocessing (preprocessing)	COMPLETED	0	2026-02-06 11:48:30.089	5m 5s	4m 17s	782.5%	81.2 GB	153.2 GB	47.2 GB	33.6 MB
4	58/fc4bdf	8861546	preprocessing (preprocessing)	COMPLETED	0	2026-02-06 11:48:30.197	5m 5s	3m 59s	506.5%	40.5 GB	77.9 GB	42.3 GB	24.3 MB
5	10/c3263d	8861549	preprocessing (preprocessing)	COMPLETED	0	2026-02-06 11:48:30.438	5m 4s	3m 55s	497.2%	41.9 GB	77.9 GB	42.3 GB	24.3 MB
6	fd/93c048	8861548	preprocessing (preprocessing)	COMPLETED	0	2026-02-06 11:48:30.360	6m 9s	5m 20s	404.6%	40.8 GB	78.1 GB	42.3 GB	24.3 MB
7	ff/799e99	8862534	spikesort_kilosort4 (spikesort-kilosort4)	FAILED	1	2026-02-06 11:53:34.978	2m 10s	1m 35s	-	-	-	-	-
2	65/cd6b78	8861547	nwb_ecephys (nwb-ecephys)	ABORTED	-	2026-02-06 11:48:30.279	-	-	-	-	-	-	-
8	cc/f6e0ed	8862537	spikesort_kilosort4 (spikesort-kilosort4)	ABORTED	-	2026-02-06 11:53:35.102	-	-	-	-	-	-	-
9	6d/86aa50	8862538	spikesort_kilosort4 (spikesort-kilosort4)	ABORTED	-	2026-02-06 11:53:35.187	-	-	-	-	-	-	-
10	f1/3df4a7	8862608	spikesort_kilosort4 (spikesort-kilosort4)	ABORTED	-	2026-02-06 11:54:39.887	-	-	-	-	-	-	-
